,road_1,road_2,road_3,road_4,road_5,road_6,road_7,road_8,road_9,road_10,road_11,road_12,road_13,road_14,road_15,road_16,road_17,road_18
2022-07-23 17:42:00,56,119,75,63,106,82,61,23,83,36,45,43,54,23,27,35,49,138
2022-07-23 17:43:00,54,142,42,77,100,83,63,30,42,18,88,113,56,74,58,26,50,31
2022-07-23 17:44:00,41,110,68,104,99,67,61,54,91,57,53,60,105,104,144,39,34,118
2022-07-23 17:45:00,38,124,57,90,110,74,48,53,33,117,70,31,32,70,151,33,76,167
2022-07-23 17:46:00,61,137,53,85,97,58,44,47,21,70,48,35,30,47,128,28,43,20
2022-07-23 17:47:00,53,129,64,73,83,65,49,59,33,69,20,41,25,40,29,40,55,98
2022-07-23 17:48:00,25,98,54,64,103,62,58,63,11,34,71,86,29,40,36,48,98,60
2022-07-23 17:49:00,40,114,44,75,102,70,53,45,30,22,59,112,40,27,104,21,30,31
2022-07-23 17:50:00,48,123,63,73,83,65,53,49,11,16,67,143,34,31,113,62,79,18
2022-07-23 17:51:00,51,106,64,91,114,75,49,56,24,12,64,41,20,52,88,49,29,33
2022-07-23 17:52:00,50,110,50,70,82,71,61,64,51,12,25,38,25,40,51,46,29,111
2022-07-23 17:53:00,26,112,56,84,100,72,54,51,25,45,27,51,44,48,68,64,63,80
2022-07-23 17:54:00,36,114,81,81,99,64,41,61,51,25,60,37,69,30,29,31,118,114
2022-07-23 17:55:00,52,107,63,80,96,73,48,59,62,39,39,54,54,28,21,18,60,92
2022-07-23 17:56:00,41,123,53,69,87,59,52,55,31,79,70,96,60,23,29,22,43,50
2022-07-23 17:57:00,34,95,49,80,85,72,43,53,38,96,25,62,30,38,122,46,34,46
2022-07-23 17:58:00,37,122,67,79,91,64,51,75,42,74,14,33,47,56,51,46,54,60
2022-07-23 17:59:00,31,107,62,84,77,64,58,63,116,43,46,53,33,133,37,105,82,135
2022-07-23 18:00:00,34,108,53,73,75,56,56,69,55,27,108,38,16,79,38,31,59,118
2022-07-23 18:01:00,26,82,62,63,83,79,66,58,77,49,104,75,25,95,36,39,47,50
2022-07-23 18:02:00,41,105,57,95,110,53,47,68,22,91,57,98,37,127,87,31,30,30
2022-07-23 18:03:00,37,125,50,75,87,59,62,55,27,35,30,29,112,66,40,79,53,28
2022-07-23 18:04:00,36,105,57,85,94,73,47,71,57,22,28,42,62,49,36,34,19,48
2022-07-23 18:05:00,23,114,66,87,92,56,47,50,39,20,27,109,30,51,29,24,54,37
2022-07-23 18:06:00,35,114,67,83,86,55,45,54,37,81,23,73,57,49,110,31,24,31
2022-07-23 18:07:00,34,97,53,79,88,67,45,53,43,53,28,37,132,87,45,17,20,31
2022-07-23 18:08:00,31,109,60,77,90,68,52,38,27,57,37,41,81,64,58,39,18,47
2022-07-23 18:09:00,34,104,54,77,94,66,59,57,45,76,75,60,132,45,62,56,23,37
2022-07-23 18:10:00,26,98,59,85,90,77,51,50,18,64,31,35,76,38,86,57,14,64
2022-07-23 18:11:00,26,106,48,78,77,54,40,61,39,103,29,83,54,42,90,48,100,63
2022-07-23 18:12:00,31,97,60,75,100,69,61,52,107,54,51,47,36,102,53,38,41,37
2022-07-23 18:13:00,33,114,61,83,73,57,53,57,46,64,77,51,35,43,80,29,21,39
2022-07-23 18:14:00,30,103,45,72,83,64,42,62,19,54,40,125,64,36,26,29,70,157
2022-07-23 18:15:00,31,111,62,66,83,51,45,54,35,22,75,41,50,41,96,43,53,47
2022-07-23 18:16:00,39,95,57,73,74,57,58,48,36,49,30,149,97,15,47,24,106,42
2022-07-23 18:17:00,22,101,62,61,85,62,53,53,21,32,46,52,35,74,118,27,34,115
2022-07-23 18:18:00,28,92,60,83,87,55,55,61,18,47,28,23,45,23,37,63,53,31
2022-07-23 18:19:00,30,108,57,70,79,66,53,72,12,30,31,21,34,56,40,87,70,47
2022-07-23 18:20:00,31,100,66,92,100,59,61,70,66,54,98,30,30,61,144,32,26,63
2022-07-23 18:21:00,36,115,72,94,103,61,69,72,51,52,35,42,114,43,52,20,75,38
2022-07-23 18:22:00,44,109,62,75,96,56,54,56,57,99,32,116,127,54,47,31,77,36
2022-07-23 18:23:00,40,95,53,77,83,71,53,68,43,97,56,78,201,114,55,34,26,148
2022-07-23 18:24:00,35,104,56,83,99,57,58,64,20,35,30,48,94,31,58,43,50,50
2022-07-23 18:25:00,39,106,59,73,76,69,49,54,35,19,39,29,83,26,25,65,37,33
2022-07-23 18:26:00,28,95,50,69,98,65,54,62,83,19,79,66,38,26,35,62,47,81
2022-07-23 18:27:00,31,107,58,85,92,57,65,53,19,17,42,36,57,37,39,28,25,90
2022-07-23 18:28:00,31,115,79,48,81,57,38,50,82,20,58,18,65,108,83,77,23,85
2022-07-23 18:29:00,21,114,48,51,81,69,51,59,47,38,40,39,56,67,30,39,38,49
2022-07-23 18:30:00,20,107,57,53,94,60,62,57,38,95,54,77,53,32,35,64,39,31
2022-07-23 18:31:00,29,118,65,56,105,80,55,66,58,50,43,43,100,43,41,33,42,51
2022-07-23 18:32:00,38,116,65,54,104,66,48,59,54,128,59,38,134,53,27,58,44,83
2022-07-23 18:33:00,36,106,55,52,69,73,67,56,37,50,36,63,100,32,48,73,26,38
2022-07-23 18:34:00,32,105,57,56,106,81,58,70,15,65,50,37,95,93,33,68,24,63
2022-07-23 18:35:00,35,117,66,55,108,63,60,51,37,56,27,85,27,83,84,37,35,27
2022-07-23 18:36:00,42,110,58,53,108,62,55,48,38,82,105,51,56,38,30,28,102,30
2022-07-23 18:37:00,32,114,63,55,95,70,55,65,51,54,38,88,34,71,25,29,83,179
2022-07-23 18:38:00,28,107,54,53,91,72,52,64,38,55,40,151,58,33,37,18,43,93
2022-07-23 18:39:00,38,118,57,53,80,61,50,57,33,89,53,32,70,38,35,29,33,163
2022-07-23 18:40:00,25,103,61,56,100,79,56,94,57,17,105,27,69,24,94,70,41,75
2022-07-23 18:41:00,33,104,71,55,103,85,56,48,34,34,39,78,43,20,37,82,61,49
2022-07-23 18:42:00,27,122,75,54,100,60,61,54,23,69,54,44,68,23,42,36,28,124
2022-07-23 18:43:00,26,127,55,55,96,87,70,64,42,40,84,69,96,52,75,45,26,37
2022-07-23 18:44:00,35,115,74,55,111,78,54,47,39,48,26,54,81,102,34,44,37,94
2022-07-23 18:45:00,39,123,66,25,118,70,46,47,35,50,124,50,23,43,49,93,14,35
2022-07-23 18:46:00,43,132,55,74,94,74,55,53,9,43,76,19,19,36,73,43,21,33
2022-07-23 18:47:00,31,108,54,55,91,76,62,52,29,44,70,31,18,76,89,29,36,60
2022-07-23 18:48:00,41,112,65,59,114,75,47,55,44,24,75,73,33,42,50,42,29,63
2022-07-23 18:49:00,42,141,65,72,109,73,65,52,15,80,44,85,60,44,29,82,58,57
2022-07-23 18:50:00,57,134,59,74,96,75,66,42,13,35,24,53,31,114,36,61,49,42
2022-07-23 18:51:00,28,114,74,90,99,59,52,51,12,20,32,44,56,34,88,28,57,97
2022-07-23 18:52:00,34,120,64,76,95,65,64,61,20,73,65,64,68,53,20,50,31,47
2022-07-23 18:53:00,19,103,73,73,94,85,57,63,93,66,34,133,31,29,61,68,31,51
2022-07-23 18:54:00,11,21,34,94,121,71,49,73,97,179,38,71,34,51,96,34,56,130
2022-07-23 18:55:00,10,12,41,99,110,71,70,63,23,121,25,102,43,24,123,28,23,37
2022-07-23 18:56:00,4,7,26,108,129,60,61,64,67,31,37,62,44,123,57,18,55,25
2022-07-23 18:57:00,9,4,89,75,73,68,62,54,41,29,111,60,64,64,146,29,18,57
2022-07-23 18:58:00,6,13,151,91,118,81,71,58,25,32,50,108,27,55,55,37,40,181
2022-07-23 18:59:00,8,14,151,68,106,65,58,52,30,85,28,51,89,61,28,61,23,89
2022-07-23 19:00:00,7,12,119,58,107,78,50,56,16,29,32,39,42,80,13,77,39,63
2022-07-23 19:01:00,10,17,149,61,125,87,49,41,34,59,51,62,33,40,34,35,18,47
2022-07-23 19:02:00,9,11,139,53,100,79,52,50,54,75,22,43,54,50,54,77,17,33
2022-07-23 19:03:00,8,13,151,70,96,78,64,59,65,67,52,76,43,120,34,19,75,46
2022-07-23 19:04:00,12,13,142,69,126,74,51,45,54,109,23,66,70,75,59,11,40,59
2022-07-23 19:05:00,15,9,153,66,129,82,47,57,26,52,16,37,108,89,87,21,74,42
2022-07-23 19:06:00,22,10,146,59,103,73,62,48,33,50,41,58,85,58,52,27,23,98
2022-07-23 19:07:00,24,4,140,63,102,79,52,61,87,37,116,108,102,27,37,54,64,167
2022-07-23 19:08:00,31,9,139,76,72,69,71,67,99,105,31,47,79,38,118,61,19,56
2022-07-23 19:09:00,34,11,127,60,85,72,52,57,35,54,41,43,42,40,82,33,45,37
2022-07-23 19:10:00,30,4,94,65,46,43,51,72,56,39,54,52,114,60,71,32,48,61
2022-07-23 19:11:00,35,4,47,68,50,58,75,80,35,29,45,55,89,48,21,50,25,44
2022-07-23 19:12:00,40,5,71,83,28,55,42,71,80,46,35,40,104,55,12,26,39,97
2022-07-23 19:13:00,10,5,27,88,31,31,46,76,43,72,40,72,120,55,19,19,90,48
2022-07-23 19:14:00,6,4,24,75,33,46,45,57,43,34,71,46,72,13,54,29,58,39
2022-07-23 19:15:00,14,6,10,79,36,36,43,84,59,37,28,79,59,30,21,58,34,50
2022-07-23 19:16:00,15,5,6,74,35,48,53,55,20,129,112,38,28,13,37,69,30,48
2022-07-23 19:17:00,12,6,11,82,34,32,46,69,54,51,120,96,31,34,46,26,15,17
2022-07-23 19:18:00,12,6,7,67,35,43,38,73,78,84,37,39,77,64,117,17,10,52
2022-07-23 19:19:00,10,6,9,69,27,39,40,60,30,42,34,36,40,92,80,28,26,44
2022-07-23 19:20:00,11,7,10,74,30,46,32,71,29,68,73,39,170,91,132,73,32,46
2022-07-23 19:21:00,7,8,9,79,31,33,44,78,111,55,65,79,97,34,43,35,45,74
2022-07-23 19:22:00,11,8,13,85,35,44,49,92,38,52,44,54,40,15,25,23,18,31
2022-07-23 19:23:00,12,9,13,84,37,55,56,68,18,84,32,31,99,14,185,38,25,24
2022-07-23 19:24:00,14,12,8,82,34,49,41,74,25,45,39,35,28,30,86,32,67,65
2022-07-23 19:25:00,12,9,11,76,34,33,32,55,29,38,143,29,123,72,43,65,42,95
2022-07-23 19:26:00,21,9,24,78,38,30,38,83,55,77,13,29,93,45,61,67,60,86
2022-07-23 19:27:00,14,7,13,66,29,62,52,84,44,41,46,27,69,18,53,37,15,32
2022-07-23 19:28:00,17,16,17,81,33,50,52,71,86,37,54,61,39,30,36,78,13,47
2022-07-23 19:29:00,8,37,14,58,38,40,44,71,37,220,62,95,58,40,37,25,20,47
2022-07-23 19:30:00,17,40,30,48,124,59,65,76,29,143,30,68,98,44,34,19,31,68
2022-07-23 19:31:00,35,35,24,45,62,80,51,67,33,49,44,115,53,30,28,54,70,103
2022-07-23 19:32:00,15,15,25,38,22,73,56,60,42,102,66,55,55,32,38,56,48,20
2022-07-23 19:33:00,17,10,19,38,19,65,47,74,78,32,37,74,143,93,57,13,35,37
2022-07-23 19:34:00,13,22,38,39,11,64,53,58,64,56,55,48,112,67,71,45,65,33
2022-07-23 19:35:00,9,13,48,37,16,72,54,51,32,35,34,88,59,23,23,20,20,75
2022-07-23 19:36:00,13,8,52,46,17,52,52,67,50,43,85,45,181,25,32,39,36,51
2022-07-23 19:37:00,12,17,37,67,37,71,56,69,63,32,83,93,109,121,72,48,32,102
2022-07-23 19:38:00,9,19,12,88,56,71,55,99,61,189,58,82,67,54,27,44,13,47
2022-07-23 19:39:00,6,30,18,61,17,82,93,86,25,68,49,35,94,38,32,70,48,48
2022-07-23 19:40:00,5,29,35,68,57,83,146,72,87,45,27,30,40,25,86,74,27,30
2022-07-23 19:41:00,8,49,16,53,67,69,153,61,35,31,86,28,31,13,69,40,33,100
2022-07-23 19:42:00,14,55,24,59,84,111,138,93,57,25,53,19,72,32,41,24,32,87
2022-07-23 19:43:00,13,28,27,71,90,129,109,52,16,15,75,26,68,135,80,65,47,177
2022-07-23 19:44:00,8,32,14,76,110,106,73,46,29,22,21,62,89,111,75,47,38,51
2022-07-23 19:45:00,9,31,13,54,70,90,65,68,62,81,54,66,54,30,84,48,49,58
2022-07-23 19:46:00,8,20,12,65,42,79,47,50,38,40,31,49,38,35,133,145,33,138
2022-07-23 19:47:00,5,47,62,65,75,58,55,51,58,61,48,38,46,35,62,117,32,80
2022-07-23 19:48:00,9,65,127,70,82,66,58,58,37,93,116,58,42,23,32,28,57,46
2022-07-23 19:49:00,30,129,37,55,89,68,45,40,41,50,36,50,69,56,90,31,46,64
2022-07-23 19:50:00,14,53,11,54,87,58,46,75,34,48,59,61,32,67,78,33,13,33
2022-07-23 19:51:00,8,37,12,59,93,71,58,82,29,65,64,71,26,45,62,40,103,45
2022-07-23 19:52:00,6,27,20,75,54,83,50,73,66,48,33,42,41,60,25,35,41,23
2022-07-23 19:53:00,18,78,36,60,73,70,55,61,61,79,49,73,52,37,73,53,15,37
2022-07-23 19:54:00,21,50,30,84,17,72,65,50,83,67,31,36,157,105,51,54,14,109
2022-07-23 19:55:00,18,43,17,93,31,75,51,55,28,42,98,71,72,37,72,36,28,172
2022-07-23 19:56:00,13,35,4,75,34,56,42,44,31,48,79,130,50,31,206,42,59,61
2022-07-23 19:57:00,9,23,8,66,22,59,55,57,27,32,44,56,29,94,118,31,41,51
2022-07-23 19:58:00,8,27,7,75,7,55,48,66,52,48,48,122,42,130,79,57,25,117
2022-07-23 19:59:00,7,33,7,55,13,69,48,59,47,59,33,69,100,36,87,21,50,146
2022-07-23 20:00:00,6,44,4,47,7,67,49,69,53,35,68,30,39,25,107,28,45,139
2022-07-23 20:01:00,6,45,21,73,4,86,57,55,35,90,41,29,33,24,32,64,24,101
2022-07-23 20:02:00,7,29,53,49,5,77,64,47,33,32,87,49,54,68,36,49,24,33
2022-07-23 20:03:00,7,36,51,53,8,76,65,72,74,46,23,125,56,132,23,56,35,29
2022-07-23 20:04:00,12,45,60,63,8,86,57,62,23,48,78,81,13,50,66,35,26,50
2022-07-23 20:05:00,10,32,45,71,15,83,46,59,28,131,115,45,29,30,59,48,17,37
2022-07-23 20:06:00,14,62,40,63,7,74,56,38,57,48,103,41,67,73,201,52,71,64
2022-07-23 20:07:00,16,59,32,49,6,69,41,26,48,32,50,41,41,43,42,35,38,107
2022-07-23 20:08:00,13,42,28,61,11,69,54,56,65,35,60,93,64,97,39,41,36,141
2022-07-23 20:09:00,11,20,47,53,6,88,48,48,51,33,71,56,33,64,25,64,28,36
2022-07-23 20:10:00,33,44,42,63,6,72,57,41,63,33,71,41,55,84,29,16,25,82
2022-07-23 20:11:00,36,46,63,63,14,73,50,48,79,37,65,63,70,17,40,24,20,132
2022-07-23 20:12:00,25,25,44,65,12,84,58,80,44,101,85,36,73,46,41,66,70,89
2022-07-23 20:13:00,37,49,58,63,12,88,73,58,55,55,29,44,191,112,121,31,60,43
2022-07-23 20:14:00,35,43,65,69,17,83,68,58,52,113,60,59,72,60,163,38,36,34
2022-07-23 20:15:00,23,58,69,69,20,84,59,70,47,171,23,79,50,74,82,21,14,74
2022-07-23 20:16:00,33,48,77,63,16,87,55,48,36,54,32,33,101,29,33,67,27,120
2022-07-23 20:17:00,29,54,61,56,15,76,67,82,126,72,42,43,108,56,39,17,44,48
2022-07-23 20:18:00,53,60,57,67,19,80,57,61,69,108,107,64,53,44,70,44,18,45
2022-07-23 20:19:00,33,45,59,85,34,81,65,81,84,113,84,46,26,37,101,49,57,49
2022-07-23 20:20:00,26,65,64,90,32,75,53,69,39,87,44,31,43,53,134,44,35,138
2022-07-23 20:21:00,33,76,59,86,30,73,66,75,57,40,48,44,42,59,52,59,11,49
2022-07-23 20:22:00,45,62,48,95,11,75,65,76,49,78,64,76,108,53,46,32,49,35
2022-07-23 20:23:00,21,39,70,95,26,93,62,67,53,61,38,30,62,62,58,23,62,102
2022-07-23 20:24:00,21,73,63,108,36,65,58,59,19,61,36,23,49,63,24,36,40,52
2022-07-23 20:25:00,12,54,57,81,32,66,59,83,26,73,42,61,22,26,22,29,23,44
2022-07-23 20:26:00,12,45,73,101,34,74,55,79,26,58,45,50,29,116,44,56,53,76
2022-07-23 20:27:00,8,49,73,96,36,78,55,81,24,37,29,61,38,48,65,46,14,75
2022-07-23 20:28:00,13,54,55,83,9,85,58,65,55,31,62,71,72,58,134,74,17,109
2022-07-23 20:29:00,11,73,63,92,7,63,75,83,32,34,70,48,75,25,72,62,23,31
2022-07-23 20:30:00,16,110,63,99,25,73,71,81,56,85,60,101,33,35,58,28,35,16
2022-07-23 20:31:00,13,75,57,79,32,69,74,93,39,79,59,11,78,66,98,89,30,23
2022-07-23 20:32:00,7,49,69,117,38,70,61,82,43,52,59,31,130,84,39,27,13,69
2022-07-23 20:33:00,13,29,63,93,7,74,52,62,23,56,28,55,72,52,43,34,8,38
2022-07-23 20:34:00,8,39,59,91,24,58,56,66,30,101,51,114,156,44,46,21,25,32
2022-07-23 20:35:00,12,44,62,78,26,57,65,110,44,102,31,49,43,64,30,72,99,46
2022-07-23 20:36:00,16,65,62,77,28,97,74,73,23,64,57,122,25,94,45,76,68,30
2022-07-23 20:37:00,18,83,65,96,30,108,56,68,43,120,71,44,150,33,19,21,51,28
2022-07-23 20:38:00,37,83,64,86,31,84,68,64,27,105,44,37,45,100,77,20,60,113
2022-07-23 20:39:00,30,85,58,88,34,102,103,71,32,70,49,37,28,67,62,60,49,57
2022-07-23 20:40:00,42,70,48,76,26,117,152,86,19,42,54,58,46,35,31,53,23,78
2022-07-23 20:41:00,33,82,72,90,28,115,125,54,51,165,39,34,43,28,49,27,38,29
2022-07-23 20:42:00,36,89,46,90,37,133,122,52,33,90,67,46,95,54,33,45,37,122
2022-07-23 20:43:00,26,95,65,90,8,107,114,69,46,34,53,30,51,38,59,27,56,81
2022-07-23 20:44:00,38,79,70,62,24,99,111,85,25,55,65,33,164,26,79,31,17,46
2022-07-23 20:45:00,34,70,63,85,9,97,125,79,34,17,95,56,124,81,48,43,26,35
2022-07-23 20:46:00,24,69,59,87,17,118,124,88,45,76,83,41,92,58,71,29,28,40
2022-07-23 20:47:00,36,72,73,59,8,106,94,78,65,75,49,62,23,36,45,19,81,63
2022-07-23 20:48:00,48,87,46,56,21,117,142,57,37,38,92,19,39,30,78,125,26,32
2022-07-23 20:49:00,41,80,52,74,24,106,103,69,24,84,55,50,29,68,51,50,34,87
2022-07-23 20:50:00,41,88,53,79,30,102,141,33,46,72,90,94,114,45,36,30,75,23
2022-07-23 20:51:00,36,77,62,82,4,106,149,50,14,45,65,66,44,31,32,29,39,64
2022-07-23 20:52:00,37,71,60,71,5,9,87,30,15,22,73,66,81,49,28,55,26,52
2022-07-23 20:53:00,50,71,65,99,25,78,28,31,50,54,82,34,46,74,38,39,76,113
2022-07-23 20:54:00,37,88,52,149,7,117,20,18,28,127,108,61,138,42,28,80,42,109
2022-07-23 20:55:00,42,89,151,100,25,156,24,14,40,46,52,100,75,156,47,29,42,48
2022-07-23 20:56:00,26,116,128,77,24,107,12,9,35,60,71,33,50,73,55,28,19,91
2022-07-23 20:57:00,11,102,61,90,15,168,12,6,48,140,52,53,120,39,50,16,22,39
2022-07-23 20:58:00,10,99,65,90,23,163,21,9,19,62,41,39,86,32,86,27,37,27
2022-07-23 20:59:00,20,100,69,107,6,165,14,20,44,189,34,78,54,71,83,30,59,60
2022-07-23 21:00:00,35,116,69,112,128,171,153,49,32,97,43,134,21,34,35,19,30,41
2022-07-23 21:01:00,60,116,77,92,119,143,197,43,65,33,34,48,25,34,32,15,40,47
2022-07-23 21:02:00,59,106,87,91,125,126,213,57,84,170,32,77,50,23,57,17,19,136
2022-07-23 21:03:00,58,99,54,82,147,160,195,35,17,49,28,58,13,136,105,20,20,57
2022-07-23 21:04:00,36,97,74,93,141,181,182,22,17,100,70,78,185,42,24,28,47,105
2022-07-23 21:05:00,40,107,74,130,147,30,45,40,22,87,51,58,52,30,42,67,21,29
2022-07-23 21:06:00,54,133,56,110,130,166,49,20,12,42,15,72,69,71,21,19,37,36
2022-07-23 21:07:00,65,116,57,111,132,24,54,29,27,109,69,41,151,73,35,27,77,57
2022-07-23 21:08:00,62,99,63,88,107,43,51,26,35,146,41,22,67,79,103,91,72,28
2022-07-23 21:09:00,62,87,63,66,113,64,56,23,36,179,47,30,43,48,53,33,37,32
2022-07-23 21:10:00,58,74,60,75,87,58,52,42,19,43,68,48,83,87,56,43,43,79
2022-07-23 21:11:00,44,68,58,86,95,70,56,20,71,52,77,46,45,73,35,30,48,37
2022-07-23 21:12:00,62,87,65,86,81,67,46,34,48,23,53,41,159,162,39,52,17,35
2022-07-23 21:13:00,51,71,54,65,88,59,55,31,52,29,48,35,88,52,142,51,41,36
2022-07-23 21:14:00,30,67,61,92,98,65,49,44,63,33,24,57,54,48,68,79,50,26
2022-07-23 21:15:00,45,76,52,74,95,60,51,58,45,36,28,84,38,44,91,84,41,46
2022-07-23 21:16:00,52,68,57,106,105,61,42,59,35,111,46,49,64,44,62,45,88,48
2022-07-23 21:17:00,35,71,61,83,92,70,55,72,19,60,77,53,28,31,99,20,26,36
2022-07-23 21:18:00,46,63,55,83,109,75,58,79,41,42,29,53,47,37,84,24,25,23
2022-07-23 21:19:00,36,87,74,81,103,24,53,75,68,86,35,125,126,46,33,82,59,32
2022-07-23 21:20:00,39,77,59,99,98,60,54,84,84,63,40,29,47,30,35,41,67,79
2022-07-23 21:21:00,48,74,62,92,111,75,65,57,63,102,32,82,114,90,97,73,48,144
2022-07-23 21:22:00,41,81,59,81,105,56,49,64,43,20,53,42,100,36,54,24,63,59
2022-07-23 21:23:00,44,76,70,114,118,35,53,59,21,51,93,36,64,14,151,127,76,95
2022-07-23 21:24:00,61,100,51,73,88,56,63,91,15,54,25,13,121,54,88,55,24,46
2022-07-23 21:25:00,38,56,55,90,110,70,69,77,33,38,17,84,55,83,131,20,37,145
2022-07-23 21:26:00,41,78,64,94,121,71,47,61,29,24,37,40,61,86,141,25,23,19
2022-07-23 21:27:00,38,85,80,95,99,59,63,81,63,18,13,43,50,36,131,20,48,11
2022-07-23 21:28:00,42,76,61,86,108,78,70,68,19,23,13,56,70,65,59,26,40,26
2022-07-23 21:29:00,42,82,86,88,103,37,60,61,27,89,42,207,108,107,57,23,29,24
2022-07-23 21:30:00,43,84,58,80,83,57,48,69,55,66,53,79,23,25,104,39,21,83
2022-07-23 21:31:00,34,56,74,78,81,23,51,57,35,52,47,74,65,49,48,30,95,76
2022-07-23 21:32:00,47,66,44,95,106,74,50,66,17,44,37,64,36,140,24,29,25,68
2022-07-23 21:33:00,32,82,56,81,106,47,53,69,74,70,23,49,36,50,109,58,89,66
2022-07-23 21:34:00,39,76,56,70,92,77,55,53,41,46,30,75,44,42,61,15,58,153
2022-07-23 21:35:00,41,72,54,70,102,99,60,52,17,45,57,50,53,55,112,52,98,53
2022-07-23 21:36:00,42,46,49,61,85,79,62,70,34,57,67,44,46,90,45,23,27,58
2022-07-23 21:37:00,50,69,59,62,88,53,68,56,24,34,71,37,42,31,45,35,33,44
2022-07-23 21:38:00,22,67,62,69,95,101,54,51,65,51,48,38,56,26,81,72,36,38
2022-07-23 21:39:00,37,59,58,71,104,106,36,30,57,94,27,34,41,52,41,62,38,46
2022-07-23 21:40:00,28,72,58,74,115,33,36,48,34,170,68,128,218,31,116,30,17,25
2022-07-23 21:41:00,36,61,47,39,72,15,47,54,69,75,71,77,56,37,55,24,48,18
2022-07-23 21:42:00,20,47,42,40,99,20,52,45,65,26,30,43,31,65,31,46,41,21
2022-07-23 21:43:00,25,49,36,43,98,9,43,28,37,56,32,37,49,68,44,29,30,89
2022-07-23 21:44:00,26,60,51,36,101,12,33,43,31,32,16,48,61,125,67,62,24,56
2022-07-23 21:45:00,20,51,61,40,90,6,34,29,50,50,28,31,23,54,29,36,36,57
2022-07-23 21:46:00,27,71,54,20,109,10,40,21,31,57,20,23,38,37,55,20,34,36
2022-07-23 21:47:00,28,46,47,26,66,10,28,42,38,54,69,39,55,21,125,25,30,66
2022-07-23 21:48:00,14,44,57,26,95,45,27,18,29,26,27,23,104,125,55,32,28,134
2022-07-23 21:49:00,20,54,49,31,113,46,23,24,31,26,23,45,70,101,82,17,37,130
2022-07-23 21:50:00,29,57,47,29,72,45,24,36,72,41,64,85,28,79,65,39,51,100
2022-07-23 21:51:00,14,36,45,19,92,42,29,22,35,55,15,118,40,52,96,37,65,43
2022-07-23 21:52:00,22,39,51,30,110,46,23,23,23,77,34,98,35,86,44,18,21,88
2022-07-23 21:53:00,19,44,67,36,84,48,36,33,33,103,45,35,85,58,85,37,24,36
2022-07-23 21:54:00,20,38,43,18,67,42,26,17,58,52,62,101,56,46,78,26,27,30
2022-07-23 21:55:00,15,37,60,36,90,45,23,23,29,111,91,92,76,115,64,24,22,76
2022-07-23 21:56:00,20,41,43,23,91,43,25,17,47,31,52,81,114,84,18,30,11,52
2022-07-23 21:57:00,18,47,59,33,76,45,32,35,73,12,39,90,56,47,25,17,46,131
2022-07-23 21:58:00,20,43,48,24,89,44,14,16,22,46,76,73,176,75,46,31,46,62
2022-07-23 21:59:00,13,41,81,20,80,45,27,21,69,60,34,166,27,28,119,38,37,82
2022-07-23 22:00:00,20,34,40,27,96,45,34,29,20,30,18,66,43,35,41,9,21,33
2022-07-23 22:01:00,20,47,50,17,91,45,31,25,57,49,63,95,78,69,36,20,16,33
2022-07-23 22:02:00,23,37,54,40,76,45,22,22,34,77,41,54,48,26,70,12,32,53
2022-07-23 22:03:00,12,54,52,29,88,45,14,18,33,123,78,45,31,46,69,23,35,27
2022-07-23 22:04:00,23,56,48,13,85,44,13,26,30,139,145,18,30,75,84,44,49,24
2022-07-23 22:05:00,15,38,36,23,72,42,36,32,32,59,49,27,34,92,80,100,36,32
2022-07-23 22:06:00,17,44,36,31,88,44,32,36,74,105,37,67,30,27,30,34,53,72
2022-07-23 22:07:00,19,48,68,34,91,48,27,28,82,59,89,50,48,50,27,24,35,40
2022-07-23 22:08:00,19,51,56,19,91,44,23,17,23,47,41,30,37,124,74,57,80,56
2022-07-23 22:09:00,24,50,64,29,88,45,27,22,26,59,54,36,62,84,33,60,44,48
2022-07-23 22:10:00,25,55,45,23,94,46,31,32,50,77,54,21,30,70,34,26,83,72
2022-07-23 22:11:00,22,41,40,20,81,42,20,27,32,39,102,45,16,30,11,36,51,78
2022-07-23 22:12:00,22,48,57,33,102,48,29,28,27,46,200,114,39,82,73,86,71,88
2022-07-23 22:13:00,25,43,40,25,84,45,27,30,37,38,80,55,121,63,107,32,26,159
2022-07-23 22:14:00,28,38,48,19,69,44,23,33,36,91,27,67,52,86,36,23,13,44
2022-07-23 22:15:00,19,44,55,28,105,46,33,25,42,33,18,90,177,44,64,94,23,33
2022-07-23 22:16:00,21,63,57,25,94,46,23,19,84,22,39,65,35,31,96,49,34,43
2022-07-23 22:17:00,19,38,39,23,78,42,23,20,100,35,60,28,83,45,61,58,42,47
2022-07-23 22:18:00,22,50,42,22,86,44,24,26,28,64,97,73,46,32,26,40,59,71
2022-07-23 22:19:00,19,46,48,22,71,44,35,24,80,102,98,62,102,20,27,14,68,126
2022-07-23 22:20:00,19,36,51,30,87,45,30,33,62,45,40,18,77,24,23,10,26,91
2022-07-23 22:21:00,21,55,59,36,89,46,25,27,41,110,35,141,62,48,34,49,66,55
2022-07-23 22:22:00,35,55,57,26,101,10,19,29,40,135,34,61,92,72,37,94,24,97
2022-07-23 22:23:00,22,40,43,21,78,12,22,22,20,118,76,43,83,45,40,27,51,202
2022-07-23 22:24:00,23,43,51,30,83,16,29,29,44,93,37,79,178,98,56,61,31,50
2022-07-23 22:25:00,21,45,45,22,85,44,26,18,30,93,32,28,75,50,108,92,41,72
