,road_1,road_2,road_3,road_4,road_5,road_6,road_7,road_8,road_9,road_10,road_11,road_12,road_13,road_14,road_15,road_16,road_17,road_18
2022-07-22 01:03:00,19,27,59,10,30,41,14,15,44,62,41,52,50,129,47,47,47,30
2022-07-22 01:04:00,19,27,59,12,21,41,18,14,24,99,63,33,25,75,59,63,56,30
2022-07-22 01:05:00,18,26,59,14,16,8,18,26,30,53,51,60,46,92,51,51,32,49
2022-07-22 01:06:00,21,27,60,16,25,15,26,18,39,61,84,41,36,44,37,37,14,57
2022-07-22 01:07:00,20,27,60,12,20,22,26,21,32,85,64,57,85,69,42,48,19,37
2022-07-22 01:08:00,18,26,59,10,18,17,17,13,24,35,96,43,45,127,158,61,45,31
2022-07-22 01:09:00,19,27,60,15,21,18,23,16,33,35,21,49,40,26,53,46,36,46
2022-07-22 01:10:00,21,27,60,12,26,23,17,25,18,72,62,109,60,17,41,26,64,75
2022-07-22 01:11:00,19,27,59,14,18,21,22,17,20,59,70,57,48,32,36,27,61,45
2022-07-22 01:12:00,21,29,61,6,29,25,31,20,48,98,147,120,58,27,94,32,53,36
2022-07-22 01:13:00,21,29,61,10,36,22,18,20,18,35,57,23,41,25,54,31,29,33
2022-07-22 01:14:00,19,27,60,12,23,28,19,10,19,63,19,73,84,61,59,30,25,20
2022-07-22 01:15:00,18,27,59,15,17,16,23,15,40,67,23,62,74,13,56,20,89,46
2022-07-22 01:16:00,19,27,59,11,23,24,17,15,27,54,39,109,53,48,82,25,44,66
2022-07-22 01:17:00,18,27,59,10,17,19,25,18,71,90,116,36,118,47,41,33,53,104
2022-07-22 01:18:00,18,27,59,12,15,22,20,17,23,55,115,47,23,28,36,13,21,28
2022-07-22 01:19:00,18,27,59,7,24,18,25,12,48,36,33,139,25,82,86,16,16,67
2022-07-22 01:20:00,18,26,59,14,14,18,26,17,25,78,34,32,17,43,59,9,14,34
2022-07-22 01:21:00,18,27,59,13,22,16,15,14,52,41,75,50,41,112,195,37,31,39
2022-07-22 01:22:00,17,26,59,10,12,14,16,17,18,108,42,42,65,32,54,40,36,33
2022-07-22 01:23:00,19,27,59,8,24,22,19,24,20,123,100,79,76,47,29,20,32,66
2022-07-22 01:24:00,17,25,57,11,22,19,11,13,92,52,84,131,71,76,45,44,38,34
2022-07-22 01:25:00,17,23,56,9,13,10,14,18,42,77,54,60,135,42,62,87,14,31
2022-07-22 01:26:00,17,26,59,10,13,18,19,14,26,32,34,40,34,48,39,36,22,41
2022-07-22 01:27:00,19,27,60,7,18,23,21,22,28,79,35,40,50,38,36,22,39,101
2022-07-22 01:28:00,17,26,59,8,24,14,20,14,65,42,71,35,46,37,35,38,30,47
2022-07-22 01:29:00,17,25,57,11,17,16,19,15,38,27,26,143,33,73,17,54,29,22
2022-07-22 01:30:00,17,26,59,12,19,14,10,15,39,41,32,64,35,122,44,62,47,54
2022-07-22 01:31:00,18,27,59,11,16,14,21,19,50,55,51,73,32,34,65,41,19,47
2022-07-22 01:32:00,17,26,59,5,23,16,12,15,19,30,64,51,58,35,45,15,69,91
2022-07-22 01:33:00,18,26,59,7,14,17,17,17,30,36,44,214,45,80,71,28,25,42
2022-07-22 01:34:00,18,26,59,10,14,19,22,16,20,46,55,49,47,35,46,85,60,34
2022-07-22 01:35:00,18,26,59,7,18,18,19,15,24,55,34,30,65,86,110,58,55,24
2022-07-22 01:36:00,17,25,58,8,21,15,14,11,63,51,91,37,72,112,34,32,33,37
2022-07-22 01:37:00,17,25,58,7,15,20,26,15,23,55,41,49,113,142,37,66,52,39
2022-07-22 01:38:00,17,25,57,11,20,20,18,12,53,74,49,16,38,65,17,44,33,181
2022-07-22 01:39:00,17,23,56,10,17,12,14,13,82,98,25,34,36,105,68,82,63,82
2022-07-22 01:40:00,17,23,56,11,13,12,13,16,25,43,26,44,105,63,82,26,25,34
2022-07-22 01:41:00,17,25,57,13,25,17,11,7,59,77,36,62,26,46,63,36,41,134
2022-07-22 01:42:00,17,23,56,9,12,14,17,13,23,197,45,33,37,78,98,42,40,50
2022-07-22 01:43:00,17,25,57,12,19,18,10,14,11,55,35,56,56,45,108,74,16,29
2022-07-22 01:44:00,17,25,58,7,21,16,14,12,19,28,18,95,80,87,56,18,51,23
2022-07-22 01:45:00,18,27,59,9,21,16,22,17,31,60,23,95,58,51,26,9,39,15
2022-07-22 01:46:00,18,26,59,12,20,21,13,14,28,49,27,79,15,117,45,16,39,46
2022-07-22 01:47:00,15,23,56,6,13,17,14,16,61,26,29,88,33,19,44,23,52,118
2022-07-22 01:48:00,19,27,59,9,14,18,29,22,49,58,31,61,20,13,72,42,23,43
2022-07-22 01:49:00,19,27,59,12,26,22,16,18,26,21,67,32,43,26,41,22,70,106
2022-07-22 01:50:00,17,26,59,12,19,18,18,12,27,45,72,57,35,58,22,72,21,94
2022-07-22 01:51:00,17,25,57,4,13,17,17,14,94,65,75,127,39,31,14,23,71,47
2022-07-22 01:52:00,17,25,57,12,16,13,12,12,30,37,28,26,31,83,15,21,31,56
2022-07-22 01:53:00,19,27,59,14,16,22,19,22,49,31,46,34,43,86,24,20,30,43
2022-07-22 01:54:00,18,26,59,13,22,18,22,18,23,57,66,37,67,39,55,59,36,74
