,Avg_1,Avg_2,Avg_3,Avg_4,Avg_5,Avg_6,Avg_7,Avg_8
0,61.98166666666666,54.152,62.376,57.70166666666666,55.938,46.928333333333335,58.96400000000001,51.92
1,60.96666666666666,56.52,59.144000000000005,56.34166666666667,55.186,48.84166666666667,57.524,50.992
2,61.83333333333334,53.31999999999999,63.19599999999999,57.919999999999995,55.891999999999996,47.57666666666666,57.814,52.251999999999995
3,56.88333333333333,52.6,57.754,53.205000000000005,51.588,44.65833333333334,55.394000000000005,47.788
4,60.699999999999996,53.556,60.169999999999995,54.65416666666667,54.529999999999994,46.91166666666667,57.056,48.891999999999996
5,60.26666666666667,53.3,58.936,54.32750000000001,54.28000000000001,45.41166666666666,56.246,48.669999999999995
6,60.68333333333333,53.779999999999994,57.688,56.23,54.024,46.44833333333333,56.622,50.586
7,60.43333333333334,51.138000000000005,60.374,57.25333333333333,54.878,44.76166666666668,57.580000000000005,51.532
8,61.63333333333333,51.92,60.486000000000004,54.94083333333333,55.064,45.125,57.31,49.298
9,64.75000000000001,56.32000000000001,60.858000000000004,57.705000000000005,57.867999999999995,49.156666666666666,58.428,51.891999999999996
10,62.583333333333336,56.3,60.03399999999999,56.3525,57.227999999999994,48.32999999999999,57.364,51.15
11,60.5,54.46,59.862,56.615833333333335,54.214,46.206666666666656,58.104,50.7
12,65.00333333333333,55.339999999999996,64.826,58.620000000000005,57.89399999999999,49.291666666666664,61.048,52.65999999999999
13,64.38333333333334,56.75999999999999,60.38399999999999,57.555,58.025999999999996,49.54666666666666,58.176,51.251999999999995
14,62.93333333333333,55.98,59.346000000000004,56.2875,57.05999999999999,48.05833333333334,57.398,50.472
15,62.1,54.14,61.446000000000005,55.40083333333333,55.374,46.99,58.19199999999999,49.480000000000004
16,62.029999999999994,55.024,60.82000000000001,60.41083333333333,55.016,48.90166666666667,58.972,54.629999999999995
17,59.73333333333334,49.64,55.092000000000006,52.4025,53.384,43.31833333333333,53.248000000000005,46.998000000000005
18,64.05000000000001,55.1,62.238,59.25583333333333,57.422000000000004,48.345,58.7,53.54200000000001
19,59.14666666666667,55.3,61.608000000000004,57.35916666666666,52.839999999999996,46.86833333333333,58.916,51.60200000000001
20,59.096666666666664,50.739999999999995,59.17,53.533750000000005,54.068000000000005,44.796666666666674,54.564,46.914
21,60.60166666666667,52.54,63.674,58.42333333333334,55.839999999999996,44.75,58.626,52.480000000000004
22,63.86666666666665,55.879999999999995,60.98,54.92249999999999,57.38199999999999,47.92166666666666,58.048,49.074
23,62.42666666666667,53.720000000000006,61.04200000000001,54.82875000000001,57.188,45.678333333333335,58.05,48.684000000000005
24,64.75,53.924,64.916,59.1475,58.64,48.13166666666667,59.584,53.36
25,63.1,53.48,62.408,57.52166666666667,56.8,46.855,58.970000000000006,51.218
26,63.231666666666676,54.734,63.812,55.26083333333333,57.174,48.428333333333335,58.806,48.848
27,61.95000000000001,56.48,60.688,56.645833333333336,55.758,48.778333333333336,58.95,50.698
28,60.38833333333334,54.422000000000004,59.507999999999996,55.800000000000004,54.42,47.06666666666666,56.839999999999996,50.134
29,60.88333333333333,53.32000000000001,60.18399999999999,56.151666666666664,55.282000000000004,45.335,58.122,50.176
30,62.88166666666666,53.660000000000004,61.931999999999995,56.98916666666667,56.79200000000001,45.51666666666666,59.54600000000001,51.150000000000006
31,64.63333333333334,54.989999999999995,60.516,56.357916666666654,58.093999999999994,46.803333333333335,59.512,50.402
32,61.61666666666667,56.336,61.71,53.76,55.220000000000006,47.123333333333335,59.56600000000001,47.878
33,62.82333333333333,57.0,60.766,57.73,57.120000000000005,48.315,58.160000000000004,51.984
34,66.03999999999999,57.28399999999999,65.294,59.428333333333335,60.013999999999996,49.571666666666665,61.644000000000005,53.472
35,64.92833333333333,56.07000000000001,59.95,60.77375000000001,59.448,47.49666666666667,59.786,54.53399999999999
36,61.116666666666674,54.403999999999996,61.23,58.24166666666667,55.616,46.87333333333333,58.358000000000004,52.029999999999994
37,61.366666666666674,54.06,59.742000000000004,57.958333333333336,54.902,47.39666666666667,58.604,51.848
38,62.865,57.360000000000014,53.998000000000005,56.3225,57.37800000000001,47.93833333333334,55.774,49.614
39,64.37666666666667,55.732000000000006,63.83799999999999,60.656666666666666,58.4,47.835,61.266,54.779999999999994
40,64.96666666666667,58.92,64.358,60.52625,57.6,50.645,61.938,54.39
41,61.63500000000001,55.82000000000001,66.426,60.497083333333336,55.43399999999999,46.98833333333334,63.524,53.8
42,65.855,53.534000000000006,61.89399999999999,61.8125,58.56999999999999,47.42166666666666,59.85999999999999,55.480000000000004
43,64.34166666666668,58.73599999999999,62.727999999999994,59.862500000000004,58.19,50.10166666666667,60.394000000000005,53.722
44,63.82999999999999,55.69200000000001,62.04,57.038333333333334,56.958000000000006,48.77,58.389999999999986,50.55
45,62.87833333333333,56.03399999999999,63.827999999999996,60.36291666666667,55.11999999999999,48.54999999999999,61.182,54.372
46,64.45333333333333,52.67999999999999,58.024,60.94916666666666,57.766,45.451666666666675,58.8,54.85
47,64.685,55.91600000000001,57.260000000000005,56.32375,57.83,48.07,57.032,51.36999999999999
48,62.29166666666668,51.58200000000001,58.822,61.751666666666665,56.138,45.76499999999999,58.57000000000001,55.90999999999999
49,63.995,53.614,59.666,59.20083333333333,56.24400000000001,47.96333333333333,57.053999999999995,52.891999999999996
50,69.62333333333332,57.970000000000006,65.032,63.71375,60.38199999999999,51.45666666666667,63.653999999999996,57.489999999999995
51,63.065000000000005,58.414,56.391999999999996,58.69375,56.025999999999996,49.348333333333336,57.376,53.348
52,66.86,57.803999999999995,61.15599999999999,57.09041666666666,60.778,47.94333333333333,59.477999999999994,50.891999999999996
53,60.51500000000001,54.56,62.718,61.43833333333333,52.96,48.23333333333333,59.29600000000001,55.79200000000001
54,69.345,54.44,58.71,59.522083333333335,60.355999999999995,49.31333333333333,58.105999999999995,53.646
55,60.553333333333335,59.104,61.739999999999995,59.93958333333333,50.9,52.15,58.702,54.888
56,64.99833333333332,56.918000000000006,61.396,52.18666666666667,56.977999999999994,49.56,59.507999999999996,45.565999999999995
57,65.005,55.751999999999995,64.354,62.89833333333333,58.284000000000006,49.585,59.95,57.262
58,64.25666666666667,56.424,60.629999999999995,61.37833333333333,57.134,48.855,59.144000000000005,55.370000000000005
59,59.09666666666667,51.426,58.077999999999996,60.48916666666667,51.144,46.14833333333333,56.85,54.19200000000001
60,61.333333333333336,53.791999999999994,59.065999999999995,56.48208333333332,53.688,47.82,57.208000000000006,50.742000000000004
61,61.66166666666667,50.588,55.01800000000001,54.15041666666667,53.234,44.34166666666666,54.577999999999996,48.748000000000005
62,64.15333333333332,54.2,61.04600000000001,52.88208333333333,56.291999999999994,46.583333333333336,58.465999999999994,47.358000000000004
63,63.66,57.28000000000001,61.234,58.2075,56.008,48.916666666666664,60.53599999999999,52.772000000000006
64,63.28,52.866,58.616,53.673750000000005,56.477999999999994,44.80833333333334,56.470000000000006,48.214000000000006
65,64.14,51.786,59.698,55.2425,56.275999999999996,44.54333333333333,59.34400000000001,50.924
66,61.04333333333333,53.536,62.492,58.251250000000006,55.11600000000001,45.04999999999999,60.234,52.760000000000005
67,59.211666666666666,50.38,56.854,54.61833333333333,52.274,44.70333333333334,54.5,48.458000000000006
68,62.70666666666667,50.652,48.32,57.25791666666666,55.251999999999995,44.625,52.13000000000001,51.042
69,65.60833333333333,53.50999999999999,64.36999999999999,58.5025,58.19199999999999,48.504999999999995,59.474000000000004,52.504
70,60.4,56.08,61.434000000000005,59.88416666666666,54.501999999999995,47.86333333333334,58.827999999999996,54.4
71,61.54666666666666,54.536,54.274,55.044999999999995,55.164,45.36333333333334,55.044,49.288
72,64.47999999999999,57.855999999999995,62.806000000000004,62.04416666666666,58.36,49.47,60.286,56.608000000000004
73,59.32999999999999,49.843999999999994,59.172000000000004,54.82041666666667,53.44,41.505,57.614,48.61
74,59.50000000000001,50.186,54.431999999999995,51.693333333333335,52.775999999999996,44.14666666666667,54.206,45.224
75,64.33333333333333,52.2,60.39,57.03874999999999,57.4,45.846666666666664,57.58,50.946000000000005
76,65.71499999999999,57.822,61.93399999999999,59.315,59.234,49.471666666666664,59.641999999999996,53.652
77,62.26666666666666,54.980000000000004,61.18399999999999,59.09458333333333,56.246,47.21666666666666,58.436,53.480000000000004
78,63.23333333333334,51.36,62.162,56.89291666666667,57.724000000000004,43.291666666666664,58.61,50.936
79,60.963333333333345,54.06,61.63399999999999,53.44,55.18000000000001,45.214999999999996,59.638,48.058
80,64.31666666666666,56.660000000000004,61.57000000000001,55.915416666666665,57.632000000000005,48.43333333333334,60.370000000000005,49.748000000000005
81,64.61666666666666,57.58,61.616,59.73166666666666,58.620000000000005,49.42666666666667,60.522000000000006,53.56200000000001
82,63.1,56.864,59.428,56.88666666666666,56.916,49.821666666666665,58.443999999999996,50.721999999999994
83,63.94666666666666,56.220000000000006,65.70599999999999,62.729166666666664,57.348,49.47166666666667,61.44199999999999,56.474000000000004
84,64.16666666666667,58.379999999999995,63.604,59.69166666666666,56.66799999999999,50.915,60.791999999999994,53.248000000000005
85,65.14333333333333,53.28799999999999,59.092000000000006,58.589166666666664,57.55999999999999,47.975,57.562,52.55
86,62.373333333333335,56.40599999999999,53.774,53.49416666666667,54.822,48.75333333333333,55.428,47.763999999999996
87,65.26666666666667,53.82000000000001,61.065999999999995,58.30416666666667,58.178,46.73499999999999,59.152,52.366
88,62.935,52.35999999999999,60.65,57.535833333333336,56.02,47.31999999999999,57.398,51.86999999999999
89,64.48333333333333,56.7,66.314,60.11083333333334,58.176,48.56833333333333,62.666,54.038
90,67.94500000000001,55.48,59.81600000000001,59.42333333333334,60.802,49.651666666666664,58.122,53.29
91,70.22833333333334,59.788,66.912,60.75416666666666,61.43800000000001,53.10166666666666,63.788,53.9
92,67.915,57.483999999999995,62.922000000000004,62.135,59.386,50.90333333333333,61.334,55.90999999999999
93,63.06,51.879999999999995,59.218,55.0725,56.044,45.48666666666666,56.064,49.072
94,62.833333333333336,53.263999999999996,63.114,56.14833333333334,57.141999999999996,45.98666666666667,59.312,49.952
95,62.45000000000001,51.94,58.662,56.35,56.081999999999994,45.44166666666666,56.55,50.31400000000001
96,65.93333333333334,56.760000000000005,61.616,55.10999999999999,59.501999999999995,48.403333333333336,58.970000000000006,49.55
97,63.03666666666666,53.9,62.534000000000006,57.275,56.922000000000004,46.778333333333336,60.791999999999994,50.628
98,63.666666666666664,55.5,60.418000000000006,58.642500000000005,56.465999999999994,48.435,58.516000000000005,52.367999999999995
99,64.31666666666666,51.9,59.498000000000005,55.155,57.894000000000005,44.961666666666666,57.218,49.55
100,59.88333333333335,53.48,61.202,58.30916666666667,54.71,45.51499999999999,58.952,52.278
101,63.73333333333333,54.260000000000005,61.0,58.669999999999995,58.089999999999996,46.915,58.80799999999999,52.3
102,60.75,52.7,60.498000000000005,56.335,54.036,45.471666666666664,58.391999999999996,50.041999999999994
103,61.93333333333334,52.86,60.342000000000006,55.63583333333333,55.63199999999999,46.585,56.80400000000001,50.29
104,62.1,51.540000000000006,61.248000000000005,57.080000000000005,56.282,45.5,57.524,50.676
105,62.616666666666674,55.58,62.17999999999999,59.67916666666667,56.402,47.62166666666666,59.89,53.362
106,63.96666666666667,53.81999999999999,63.174,55.2575,58.152,45.98333333333333,59.510000000000005,49.164
107,64.25,51.31999999999999,61.012,56.51166666666666,58.838,44.13333333333333,57.4,50.586000000000006
108,60.86666666666667,48.519999999999996,57.882000000000005,53.2925,55.65999999999999,42.401666666666664,55.141999999999996,46.908
109,61.633333333333326,53.55999999999999,59.948,53.91583333333333,56.272000000000006,46.416666666666664,56.334,48.126
110,60.93333333333333,53.2,60.43399999999999,56.096666666666664,54.879999999999995,46.08833333333334,57.418000000000006,50.362
111,59.71666666666667,51.18,59.376,54.0925,54.016,44.58500000000001,56.513999999999996,48.128
112,60.48333333333334,52.779999999999994,54.068000000000005,52.336666666666666,55.742,45.379999999999995,51.208000000000006,47.246
113,58.76666666666667,52.339999999999996,57.878,53.45666666666667,53.260000000000005,44.87,54.55,48.556
114,38.87166666666667,51.75999999999999,54.242000000000004,53.15083333333333,31.122000000000003,43.876666666666665,53.303999999999995,47.312
115,39.07,45.68,53.388,51.314166666666665,34.998000000000005,36.50166666666667,52.596000000000004,46.41
116,42.873333333333335,33.238,43.18000000000001,50.44958333333333,38.738,30.25,40.78,47.542
117,51.59,47.839999999999996,47.028,46.81916666666667,46.292,41.725,44.888,42.532
118,60.60666666666666,50.419999999999995,57.04,53.98166666666666,54.818,44.35833333333334,54.44,47.878
119,60.03333333333333,52.92,60.996,54.53666666666667,54.58800000000001,45.275,57.976,48.736000000000004
120,59.93333333333334,51.620000000000005,59.312,52.44583333333333,54.553999999999995,43.72666666666667,56.1,46.502
121,60.11666666666667,49.800000000000004,59.024,53.899166666666666,54.93399999999999,42.22333333333333,56.13599999999999,47.9
122,59.9,51.14,61.379999999999995,52.23416666666666,54.06,44.43333333333334,57.722,45.824
123,57.593333333333334,51.112,61.089999999999996,53.99583333333334,51.998000000000005,45.711666666666666,55.04600000000001,48.262
124,60.16833333333333,51.0,57.718,53.2575,54.318,44.14833333333333,55.25,48.038
125,57.71666666666667,49.7,56.302,53.52916666666667,52.048,44.23833333333334,52.562,47.676
126,58.21666666666666,50.980000000000004,54.053999999999995,49.88500000000001,52.69199999999999,43.41,52.274,45.486000000000004
